SubscriptionID,CustomerID,PlanName,BillingTerm,Seats,MRR,StartDate,EndDate,Status
S5367,C1352,Enterprise,Monthly,10.0,2578.28,2024-03-14,,Active
S5368,C1353,Starter,Annual,6.0,68.6,2025-01-05,,Active
S5369,C1354,Starter,Monthly,14.0,99.96,2023-01-07,,Active
S5370,C1355,Business,Annual,11.0,698.6,2024-10-08,2026-04-05,Churned
S5371,C1356,Business,Annual,4.0,618.76,2024-02-20,,Active
S5372,C1357,Growth,Monthly,5.0,262.68,2023-01-20,,Active
S5373,C1358,Starter,Monthly,5.0,64.68,2023-07-20,2024-10-07,Churned
S5374,C1359,Business,Annual,5.0,658.68,2025-01-24,,Active
S5375,C1360,Starter,Monthly,4.0,60.76,2024-08-04,,Active
S5376,C1361,Business,Annual,5.0,658.68,2024-10-27,,Active
S5377,C1362,Starter,Monthly,5.0,64.68,2023-03-31,,Active
S5378,C1363,Growth,Annual,8.0,310.44,2024-08-10,,Active
S5379,C1364,Enterprise,Monthly,5.0,1978.68,2023-12-01,,Paused
S5380,C1365,Business,Monthly,8.0,778.44,2024-06-26,,Active
S5381,C1366,Growth,Monthly,6.0,278.6,2024-06-05,,Active
S5382,C1367,Starter,Monthly,8.0,76.44,2024-11-01,2026-01-26,Churned
S5383,C1368,Starter,Annual,2.0,52.92,2024-09-09,,Active
S5384,C1369,Enterprise,Monthly,6.0,2098.6,2024-11-29,,Active
S5385,C1370,Business,Annual,5.0,658.68,2023-11-03,,Active
S5386,C1371,Growth,Annual,5.0,262.68,2023-10-08,,Active
S5387,C1372,Growth,Monthly,7.0,294.52,2024-07-15,,Active
S5388,C1373,Starter,Annual,4.0,60.76,2023-09-20,,Active
S5389,C1374,Business,Monthly,8.0,778.44,2023-12-11,,Active
S5390,C1375,Starter,Monthly,6.0,68.6,2023-03-30,,Active
S5391,C1376,Growth,Annual,8.0,310.44,2023-06-29,,Active
S5392,C1377,Business,Annual,6.0,698.6,2024-07-09,2025-06-15,Churned
S5393,C1378,Growth,Monthly,9.0,326.36,2023-11-27,2025-04-02,Churned
S5394,C1378,Starter,Monthly,3.0,56.84,2025-04-24,,Active
S5395,C1379,Starter,Annual,4.0,60.76,2024-02-09,,Active
S5396,C1380,Enterprise,Monthly,2.0,1618.92,2024-06-11,2025-12-15,Churned
S5397,C1381,Enterprise,Monthly,7.0,2218.52,2023-05-27,2025-01-08,Churned
S5398,C1382,Starter,Monthly,6.0,68.6,2024-09-25,,Active
S5399,C1383,Starter,Monthly,12.0,92.12,2024-08-04,,Active
S5400,C1384,Enterprise,Monthly,6.0,2098.6,2024-08-26,,Active
S5401,C1385,Enterprise,Annual,7.0,2218.52,2024-11-14,2025-01-30,Churned
S5402,C1386,Starter,Monthly,7.0,72.52,2023-01-21,,Active
S5403,C1387,Growth,Annual,8.0,310.44,2024-03-20,,Active
S5404,C1388,Growth,Monthly,8.0,310.44,2023-06-08,,Active
S5405,C1389,Business,Monthly,7.0,738.52,2024-01-01,,Active
S5406,C1390,Growth,Monthly,6.0,278.6,2024-03-01,2025-11-07,Churned
S5407,C1391,Starter,Monthly,6.0,68.6,2023-11-11,,Active
S5408,C1392,Starter,Monthly,5.0,64.68,2023-04-08,,Active
S5409,C1393,Growth,Annual,6.0,278.6,2023-10-06,,Active
S5410,C1394,Growth,Monthly,6.0,278.6,2023-05-07,,Active
S5411,C1395,Enterprise,Monthly,15.0,3177.88,2024-11-05,,Active
S5412,C1396,Growth,Monthly,9.0,326.36,2023-12-18,2024-06-08,Churned
S5413,C1397,Business,Annual,12.0,938.12,2024-12-20,,Active
S5414,C1398,Growth,Annual,9.0,326.36,2024-01-21,2025-01-18,Churned
S5415,C1399,Business,Annual,5.0,658.68,2024-03-29,2025-01-22,Churned
S5416,C1400,Growth,Annual,7.0,294.52,2024-10-18,,Active
S5417,C1401,Growth,Annual,10.0,342.28,2024-03-15,2024-12-15,Churned
S5418,C1402,Growth,Annual,5.0,262.68,2024-12-03,2026-04-02,Churned
S5419,C1403,Growth,Monthly,6.0,278.6,2024-08-15,,Active
S5420,C1404,Business,Annual,8.0,778.44,2024-03-08,,Active
S5421,C1405,Growth,Annual,4.0,246.76,2024-04-08,2025-04-22,Churned
S5422,C1406,Growth,Annual,6.0,278.6,2024-04-19,,Active
S5423,C1407,Business,Monthly,7.0,738.52,2024-10-23,,Active
S5424,C1408,Starter,Monthly,6.0,68.6,2023-10-21,,Active
S5425,C1409,Starter,Annual,6.0,68.6,2023-05-22,2024-02-04,Churned
S5426,C1410,Growth,Monthly,9.0,326.36,2024-03-18,2024-07-11,Churned
S5427,C1411,Growth,Annual,5.0,262.68,2025-01-07,,Active
S5428,C1412,Starter,Monthly,8.0,76.44,2024-05-15,2026-01-02,Churned
S5429,C1412,Enterprise,Annual,9.0,2458.36,2026-02-17,2027-10-17,Churned
S5430,C1413,Growth,Monthly,4.0,246.76,2023-09-11,,Active
S5431,C1414,Growth,Monthly,9.0,326.36,2023-12-30,2024-05-01,Churned
S5432,C1415,Business,Annual,8.0,778.44,2024-02-12,,Active
S5433,C1416,Business,Annual,5.0,658.68,2023-01-04,,Active
S5434,C1417,Growth,Monthly,9.0,326.36,2023-04-07,2023-05-31,Churned
S5435,C1418,Growth,Annual,9.0,326.36,2023-12-17,,Active
S5436,C1419,Growth,Monthly,7.0,294.52,2024-11-29,,Active
S5437,C1420,Growth,Monthly,6.0,278.6,2023-03-07,,Active
