TicketID,CustomerID,OpenedDate,Category,Priority,ResolutionHours,SatisfactionScore
T20455,C1335,2023-09-01,Technical,Critical,9.9,7.0
T20456,C1416,2024-01-30,Onboarding,Medium,28.6,1.0
T20457,C1084,2023-01-29,Billing,High,28.2,2.0
T20458,C1292,2023-10-13,Technical,Low,62.7,3.0
T20459,C1245,2023-07-29,Feature Request,High,4.7,6.0
T20460,C1142,2023-01-10,Feature Request,Critical,0.2,6.0
T20461,C1115,2023-11-19,Technical,Low,47.8,6.0
T20462,C1006,2024-10-30,Technical,High,3.0,8.0
T20463,C1089,2023-01-28,Feature Request,Medium,43.8,6.0
T20464,C1362,2024-11-24,Outage,Low,55.5,3.0
T20465,C1305,2024-03-05,Technical,Medium,33.7,3.0
T20466,C1098,2024-12-14,Feature Request,Critical,17.6,7.0
T20467,C1017,2024-02-17,Technical,Low,39.2,5.0
T20468,C1240,2024-09-14,Onboarding,Medium,56.5,3.0
T20469,C1115,2023-04-02,Onboarding,Low,50.1,5.0
T20470,C1282,2024-08-02,Onboarding,Medium,42.6,2.0
T20471,C1377,2024-09-15,Feature Request,High,32.3,5.0
T20472,C1029,2024-02-19,Billing,Critical,12.8,5.0
T20473,C1264,2023-09-29,Technical,High,3.5,9.0
T20474,C1210,2024-10-20,Feature Request,High,2.5,8.0
T20475,C1380,2024-06-28,Billing,Low,56.9,8.0
T20476,C1321,2024-01-06,Feature Request,Medium,39.5,5.0
T20477,C1067,2024-09-20,Onboarding,Medium,29.9,7.0
T20478,C1002,2023-12-23,Technical,High,11.9,9.0
T20479,C1116,2023-07-04,Outage,Low,67.3,8.0
T20481,C1149,2023-01-13,Billing,Medium,23.7,6.0
T20482,C1020,2024-07-16,Onboarding,Medium,36.4,6.0
T20483,C1348,2024-03-21,Onboarding,High,5.9,9.0
T20484,C1214,2024-01-05,Technical,Low,48.2,5.0
T20485,C1371,2024-10-04,Billing,Medium,33.8,6.0
T20486,C1278,2024-07-17,Feature Request,High,4.6,7.0
T20487,C1366,2024-08-31,Feature Request,Low,59.3,4.0
T20488,C1256,2024-07-09,Onboarding,Low,50.2,5.0
T20489,C1329,2023-02-17,Billing,Medium,51.7,5.0
T20490,C1266,2023-03-09,Onboarding,Critical,12.1,10.0
T20491,C1157,2023-07-29,Technical,Low,78.9,6.0
T20492,C1281,2023-03-20,Billing,Low,60.1,2.0
T20493,C1006,2024-05-02,Technical,Low,69.7,5.0
T20494,C1036,2024-08-31,Technical,High,9.2,9.0
T20495,C1357,2024-11-11,Technical,High,4.1,10.0
T20496,C1378,2024-12-19,Billing,Low,58.4,4.0
T20497,C1087,2024-05-04,Onboarding,Low,54.4,6.0
T20498,C1010,2024-02-29,Technical,High,7.2,7.0
T20499,C1299,2023-10-06,Technical,Medium,47.0,4.0
T20500,C1307,2023-05-26,Billing,High,9.2,6.0
T20501,C1063,2024-11-20,Technical,Medium,18.2,6.0
T20502,C1256,2024-05-11,Feature Request,Medium,36.6,2.0
T20503,C1322,2024-10-01,Billing,High,25.1,6.0
T20504,C1369,2023-09-03,Feature Request,Medium,30.3,7.0
T20505,C1082,2024-07-17,Technical,Low,60.8,5.0
T20506,C1111,2024-06-11,Technical,Medium,27.4,2.0
T20507,C1176,2023-03-23,Onboarding,Medium,24.6,5.0
T20508,C1099,2024-09-01,Billing,High,9.9,6.0
T20509,C1064,2024-08-10,Feature Request,Medium,22.1,8.0
T20510,C1261,2024-12-14,Onboarding,High,19.5,7.0
T20511,C1280,2024-05-01,Technical,Critical,2.7,9.0
T20512,C1185,2024-02-25,Technical,Critical,9.4,4.0
T20513,C1390,2023-02-13,Billing,Medium,43.3,5.0
T20514,C1167,2024-11-07,Technical,High,6.8,8.0
T20515,C1111,2023-03-19,Feature Request,Critical,13.7,8.0
T20516,C1160,2024-01-25,Billing,Low,45.2,4.0
T20517,C1269,2024-10-13,Onboarding,Low,50.7,4.0
T20518,C1260,2024-09-16,Technical,Low,72.5,5.0
T20519,C1135,2024-03-27,Billing,Low,55.7,6.0
T20520,C1374,2023-02-24,Billing,High,21.7,9.0
T20521,C1174,2023-06-18,Technical,Medium,34.2,5.0
T20522,C1260,2023-07-08,Onboarding,Medium,34.6,6.0
T20523,C1054,2023-10-13,Outage,Low,46.5,4.0
T20524,C1406,2024-09-10,Technical,Low,65.1,5.0
T20525,C1182,2024-10-01,Feature Request,Low,67.7,5.0
T20526,C1287,2024-01-25,Billing,Medium,52.6,5.0
T20527,C1029,2023-04-25,Feature Request,Low,66.8,7.0
T20528,C1002,2023-10-23,Onboarding,High,13.3,9.0
T20529,C1313,2024-08-24,Technical,Low,61.5,3.0
T20530,C1360,2024-05-08,Outage,Low,47.3,3.0
T20531,C1252,2024-11-04,Technical,Medium,35.9,5.0
T20532,C1283,2024-11-11,Onboarding,Medium,44.2,3.0
T20533,C1336,2023-08-20,Billing,High,8.1,2.0
T20534,C1001,2024-04-19,Feature Request,Medium,12.1,8.0
T20535,C1120,2023-10-14,Technical,Low,68.3,6.0
T20536,C1372,2023-05-20,Billing,Low,63.6,5.0
T20537,C1303,2023-04-07,Technical,Medium,32.0,4.0
T20538,C1253,2024-02-07,Outage,Low,58.7,6.0
T20539,C1111,2023-04-30,Feature Request,Low,71.2,7.0
T20540,C1170,2024-05-15,Feature Request,Low,52.0,5.0
T20541,C1236,2023-01-02,Feature Request,Low,60.0,4.0
T20542,C1395,2024-03-26,Technical,Medium,35.0,4.0
T20543,C1356,2024-01-15,Technical,High,1.0,3.0
T20544,C1415,2023-02-10,Feature Request,Low,71.5,2.0
T20545,C1213,2024-01-31,Onboarding,Low,44.3,6.0
T20546,C1121,2023-05-03,Onboarding,High,17.0,2.0
T20547,C1022,2024-07-11,Technical,Low,54.4,6.0
T20548,C1134,2023-06-17,Feature Request,High,20.7,8.0
T20549,C1112,2024-10-30,Technical,Medium,30.3,5.0
T20550,C1198,2023-07-21,Billing,High,21.6,8.0
T20551,C1303,2023-11-23,Billing,High,9.7,7.0
T20552,C1079,2024-05-04,Feature Request,Medium,24.7,8.0
T20553,C1157,2023-02-19,Outage,High,0.7,6.0
T20554,C1029,2024-08-30,Billing,High,6.5,7.0
T20555,C1087,2024-06-01,Technical,Medium,32.8,6.0
T20556,C1304,2024-02-05,Feature Request,High,7.2,6.0
T20557,C1056,2023-10-06,Feature Request,High,9.9,6.0
T20558,C1416,2024-07-06,Feature Request,Medium,22.9,6.0
T20559,C1207,2024-09-05,Onboarding,High,21.4,8.0
T20560,C1264,2024-12-25,Feature Request,Low,53.9,3.0
T20561,C1082,2024-10-03,Technical,Low,57.3,1.0
T20562,C1177,2024-12-03,Outage,High,12.6,7.0
T20563,C1165,2024-04-12,Billing,Low,62.8,6.0
T20564,C1302,2024-11-06,Technical,Medium,32.7,4.0
T20565,C1375,2023-12-12,Technical,Medium,19.8,9.0
T20566,C1113,2024-02-09,Billing,Critical,23.7,4.0
T20567,C1056,2024-11-18,Technical,Medium,28.1,3.0
T20568,C1393,2023-09-07,Onboarding,Medium,31.5,4.0
T20569,C1148,2024-04-24,Onboarding,Low,68.6,3.0
T20570,C1339,2023-09-15,Outage,Low,46.4,3.0
T20571,C1291,2024-10-04,Billing,Medium,5.3,7.0
T20572,C1205,2023-12-17,Technical,Medium,27.3,6.0
T20573,C1023,2024-10-17,Technical,Low,54.6,5.0
T20574,C1244,2024-02-11,Feature Request,Low,45.0,2.0
T20575,C1394,2023-05-29,Technical,Low,55.3,5.0
T20576,C1046,2024-05-26,Billing,Low,71.9,5.0
T20577,C1393,2023-02-06,Technical,Low,67.4,8.0
T20578,C1273,2024-11-11,Technical,Low,72.2,7.0
T20579,C1358,2024-11-01,Feature Request,Medium,17.2,6.0
T20581,C1199,2024-11-23,Technical,Low,59.4,5.0
T20582,C1009,2024-10-13,Technical,High,0.8,10.0
T20583,C1055,2024-03-28,Billing,Low,47.6,4.0
T20584,C1366,2024-11-10,Onboarding,High,10.1,9.0
T20585,C1407,2024-05-02,Technical,Medium,13.5,5.0
T20586,C1161,2023-10-15,Technical,High,22.3,7.0
T20587,C1032,2024-12-09,Onboarding,Medium,17.0,9.0
T20588,C1285,2023-09-08,Technical,Low,69.1,7.0
T20589,C1247,2023-12-28,Billing,Low,72.2,3.0
T20590,C1139,2024-11-17,Onboarding,Low,69.5,5.0
T20591,C1223,2024-12-30,Technical,High,7.0,8.0
T20592,C1344,2024-04-28,Technical,Low,53.8,7.0
T20593,C1078,2023-12-27,Onboarding,Medium,13.8,4.0
T20594,C1257,2024-12-08,Technical,High,0.9,5.0
T20595,C1403,2024-03-07,Billing,Low,42.2,5.0
T20596,C1032,2023-01-25,Feature Request,Low,67.1,5.0
T20598,C1413,2024-09-30,Technical,Low,52.9,8.0
T20599,C1217,2024-07-23,Billing,Low,52.4,4.0
T20600,C1411,2023-06-19,Technical,Low,53.1,8.0
T20601,C1215,2024-08-17,Technical,Critical,12.5,5.0
T20602,C1351,2024-09-16,Feature Request,Medium,9.6,4.0
T20603,C1408,2024-07-23,Technical,Low,70.1,2.0
T20604,C1225,2024-01-21,Feature Request,Critical,7.0,6.0
T20605,C1166,2023-07-17,Onboarding,Medium,44.3,2.0
T20606,C1386,2023-05-09,Technical,Medium,29.8,4.0
T20607,C1251,2023-06-16,Technical,Low,58.8,5.0
T20608,C1065,2024-12-04,Feature Request,High,7.5,10.0
T20609,C1149,2023-10-16,Outage,Medium,35.2,4.0
T20610,C1387,2023-04-03,Billing,High,30.4,8.0
T20611,C1363,2024-07-21,Outage,Low,52.5,5.0
T20612,C1123,2024-11-27,Onboarding,High,0.8,8.0
T20613,C1267,2023-01-11,Outage,Low,40.7,7.0
T20614,C1247,2023-07-20,Technical,High,10.0,4.0
T20615,C1309,2024-08-13,Outage,Medium,31.6,7.0
T20616,C1218,2024-01-19,Onboarding,Low,64.3,7.0
T20617,C1408,2024-05-14,Onboarding,High,14.8,8.0
T20618,C1256,2024-10-13,Technical,Low,59.7,2.0
T20619,C1406,2024-11-05,Billing,Medium,42.8,6.0
T20620,C1088,2023-11-18,Technical,Low,61.3,7.0
T20621,C1176,2024-12-16,Feature Request,High,3.9,8.0
T20622,C1031,2023-10-01,Billing,Medium,32.6,8.0
T20623,C1352,2024-04-05,Onboarding,Medium,24.8,6.0
T20624,C1288,2024-08-24,Feature Request,High,16.5,9.0
T20625,C1403,2024-06-01,Feature Request,Medium,36.0,6.0
T20626,C1220,2023-11-09,Outage,Low,77.4,3.0
T20627,C1349,2023-07-03,Outage,Medium,33.3,3.0
T20628,C1201,2024-09-25,Technical,Low,64.5,8.0
T20629,C1353,2024-10-12,Onboarding,Medium,14.2,9.0
T20630,C1243,2023-10-15,Feature Request,High,22.7,4.0
T20631,C1049,2024-09-16,Technical,Critical,7.8,6.0
T20632,C1251,2024-10-16,Onboarding,Low,64.3,4.0
T20633,C1127,2024-08-02,Billing,Low,46.8,2.0
T20634,C1018,2023-03-28,Feature Request,Medium,26.4,6.0
T20635,C1126,2023-08-07,Outage,High,10.9,7.0
T20636,C1176,2024-07-06,Onboarding,Medium,34.2,4.0
T20637,C1070,2024-01-17,Technical,Medium,13.0,8.0
T20638,C1274,2023-10-24,Technical,Medium,31.0,3.0
T20639,C1069,2023-02-14,Technical,High,5.9,6.0
T20640,C1345,2024-06-27,Onboarding,Medium,15.9,9.0
T20641,C1001,2023-11-17,Technical,Medium,17.0,8.0
T20642,C1011,2024-12-12,Onboarding,Low,56.5,4.0
T20643,C1351,2023-12-25,Technical,Critical,21.5,9.0
T20644,C1338,2023-07-20,Billing,Low,66.4,7.0
T20645,C1121,2024-08-21,Feature Request,Medium,15.0,7.0
T20646,C1109,2023-05-01,Billing,Medium,40.0,9.0
T20647,C1170,2023-03-22,Billing,Low,48.8,4.0
T20648,C1313,2024-10-20,Billing,Low,67.6,10.0
T20649,C1384,2024-01-02,Technical,Medium,19.1,7.0
T20650,C1063,2024-02-27,Technical,Low,62.1,4.0
T20651,C1183,2024-02-25,Billing,Medium,30.1,5.0
T20652,C1269,2024-06-22,Onboarding,High,2.1,6.0
T20653,C1143,2023-07-08,Technical,Low,51.3,10.0
T20654,C1330,2023-04-26,Onboarding,Medium,25.5,3.0
T20655,C1159,2023-09-04,Outage,Medium,39.4,6.0
T20656,C1325,2024-02-07,Billing,Medium,35.2,4.0
T20657,C1216,2024-10-01,Onboarding,Low,49.3,7.0
T20658,C1261,2024-09-24,Billing,Low,61.8,4.0
T20659,C1284,2023-12-31,Feature Request,Medium,35.9,4.0
T20660,C1123,2023-10-20,Onboarding,Medium,36.9,4.0
T20661,C1036,2023-02-17,Technical,Medium,36.0,3.0
T20662,C1113,2023-09-23,Outage,Low,60.1,4.0
T20663,C1322,2024-09-24,Technical,Low,67.2,4.0
T20664,C1074,2023-11-27,Billing,Critical,3.4,6.0
T20665,C1072,2024-02-22,Technical,High,17.6,5.0
T20666,C1112,2024-12-02,Feature Request,High,8.8,9.0
T20667,C1164,2023-04-17,Onboarding,Medium,26.4,4.0
T20668,C1272,2023-01-02,Technical,High,10.9,4.0
T20669,C1119,2023-10-06,Onboarding,Low,47.3,7.0
T20670,C1097,2024-01-30,Technical,Low,71.3,5.0
T20671,C1173,2024-02-29,Technical,Medium,23.1,5.0
T20672,C1032,2024-08-21,Feature Request,Low,67.5,2.0
T20673,C1235,2023-04-01,Billing,Low,70.6,3.0
T20674,C1150,2023-05-30,Technical,Low,44.3,7.0
T20675,C1101,2024-08-02,Billing,Medium,29.9,3.0
T20676,C1188,2024-08-05,Onboarding,Low,62.4,5.0
T20677,C1366,2023-08-21,Technical,Low,56.9,3.0
T20678,C1141,2023-06-18,Onboarding,Medium,33.5,3.0
T20679,C1016,2023-05-17,Outage,Low,48.9,6.0
T20680,C1245,2024-05-01,Billing,Medium,30.6,1.0
T20681,C1128,2024-08-18,Onboarding,Low,55.6,8.0
T20682,C1037,2024-06-05,Billing,Low,67.2,5.0
T20683,C1182,2024-12-21,Billing,Medium,29.2,5.0
T20684,C1275,2024-04-17,Onboarding,Medium,26.9,4.0
T20685,C1106,2023-06-03,Onboarding,Critical,7.3,6.0
T20686,C1354,2024-04-04,Billing,Medium,23.5,8.0
T20687,C1127,2024-06-27,Technical,Medium,17.5,7.0
T20688,C1065,2023-11-23,Technical,Medium,16.5,6.0
T20689,C1284,2024-06-05,Onboarding,Medium,37.6,4.0
T20690,C1086,2024-12-07,Outage,Low,72.8,1.0
T20691,C1249,2023-03-25,Technical,Low,40.3,8.0
T20692,C1340,2024-10-17,Billing,High,8.2,8.0
T20693,C1227,2024-09-17,Outage,High,17.6,7.0
T20694,C1215,2023-01-30,Onboarding,Low,47.3,6.0
T20695,C1211,2023-07-23,Billing,Low,57.9,5.0
T20696,C1087,2024-05-04,Technical,Low,61.3,3.0
T20697,C1028,2024-06-16,Technical,Critical,4.7,6.0
T20698,C1192,2023-08-06,Technical,Medium,25.4,4.0
T20699,C1254,2024-12-24,Billing,Low,57.0,6.0
T20700,C1116,2023-05-24,Onboarding,Critical,9.1,6.0
T20701,C1078,2023-12-31,Technical,Medium,38.7,8.0
T20702,C1075,2023-08-15,Technical,Low,51.4,4.0
T20703,C1245,2024-03-21,Onboarding,Low,72.3,4.0
T20704,C1065,2024-11-13,Outage,Low,56.1,4.0
T20705,C1166,2024-05-25,Onboarding,Low,60.0,6.0
T20706,C1018,2024-10-09,Feature Request,Medium,43.2,4.0
T20707,C1126,2024-10-14,Technical,Critical,5.1,6.0
T20708,C1354,2023-02-27,Feature Request,Low,63.0,6.0
T20709,C1390,2023-01-12,Technical,High,8.5,10.0
T20710,C1406,2023-02-20,Technical,High,19.4,8.0
T20711,C1021,2023-12-02,Billing,High,36.5,5.0
T20712,C1139,2023-05-03,Outage,Low,68.9,4.0
T20713,C1035,2023-04-10,Feature Request,Medium,22.3,8.0
T20714,C1038,2023-04-21,Technical,Low,73.5,3.0
T20715,C1399,2023-04-12,Outage,Low,57.6,4.0
T20716,C1017,2023-11-02,Technical,Low,53.5,5.0
T20717,C1015,2023-02-10,Onboarding,Low,55.5,5.0
T20718,C1028,2023-10-26,Onboarding,Low,66.0,2.0
T20719,C1350,2023-01-14,Onboarding,Low,76.3,5.0
T20720,C1206,2024-04-24,Onboarding,Medium,35.1,3.0
T20721,C1160,2024-09-28,Onboarding,Low,66.8,4.0
T20722,C1222,2023-09-28,Billing,Low,65.5,2.0
T20723,C1363,2023-07-25,Onboarding,Low,60.5,7.0
T20724,C1003,2024-09-28,Billing,Low,46.9,3.0
T20725,C1252,2023-01-22,Billing,Medium,40.6,4.0
T20726,C1074,2023-03-24,Feature Request,High,24.7,3.0
T20727,C1363,2024-04-10,Onboarding,Medium,47.2,4.0
T20728,C1346,2023-02-01,Onboarding,Low,37.5,6.0
T20729,C1033,2023-03-17,Technical,Low,52.6,6.0
T20730,C1010,2024-10-30,Technical,Low,74.3,2.0
T20731,C1193,2023-04-29,Feature Request,Medium,29.1,5.0
T20732,C1270,2023-06-25,Technical,High,27.2,8.0
T20733,C1107,2023-08-01,Technical,Medium,34.2,4.0
T20734,C1417,2024-08-05,Feature Request,Low,46.3,5.0
T20736,C1046,2023-12-16,Technical,Low,55.3,3.0
T20737,C1380,2023-12-03,Billing,Medium,18.2,8.0
T20738,C1041,2023-06-16,Technical,Medium,45.3,4.0
T20739,C1245,2024-01-03,Feature Request,Medium,37.6,7.0
T20740,C1277,2023-01-17,Technical,Low,56.9,5.0
T20741,C1317,2023-10-23,Onboarding,Low,53.4,2.0
T20742,C1342,2023-02-13,Technical,High,8.3,8.0
T20743,C1179,2023-01-08,Billing,Medium,24.8,5.0
T20744,C1129,2024-09-19,Outage,Low,42.9,3.0
T20745,C1159,2023-04-12,Technical,Medium,46.2,6.0
T20746,C1395,2024-06-20,Technical,Low,53.4,6.0
T20747,C1353,2024-06-11,Billing,Low,64.8,4.0
T20748,C1345,2023-02-11,Feature Request,High,7.7,6.0
T20749,C1306,2024-03-10,Technical,Medium,27.4,7.0
T20750,C1010,2024-07-13,Outage,Medium,33.1,6.0
T20751,C1296,2024-09-15,Onboarding,Critical,0.7,8.0
T20752,C1046,2023-06-28,Feature Request,Low,58.3,6.0
T20753,C1383,2024-09-04,Technical,Low,57.5,5.0
T20754,C1359,2023-12-16,Technical,Low,59.9,5.0
T20755,C1045,2023-07-08,Feature Request,Critical,15.7,4.0
T20756,C1310,2023-01-28,Technical,Critical,24.0,3.0
T20757,C1140,2023-08-05,Technical,Low,69.4,5.0
T20758,C1275,2023-01-06,Technical,High,16.4,10.0
T20759,C1019,2024-05-09,Feature Request,Critical,21.6,6.0
T20760,C1367,2024-03-19,Technical,Medium,25.3,5.0
T20761,C1038,2024-05-11,Billing,Medium,50.1,4.0
T20762,C1151,2023-09-21,Technical,Low,61.7,2.0
T20763,C1206,2023-08-07,Feature Request,Low,56.2,7.0
T20764,C1045,2024-07-21,Feature Request,Medium,33.7,5.0
T20765,C1395,2023-09-01,Feature Request,Medium,29.3,6.0
T20766,C1300,2024-06-16,Onboarding,Low,64.7,6.0
T20767,C1074,2023-02-18,Billing,Low,77.5,2.0
T20768,C1392,2023-07-19,Outage,High,20.2,8.0
T20769,C1381,2023-05-05,Billing,Low,67.5,3.0
T20770,C1051,2024-11-03,Onboarding,Critical,10.6,7.0
T20771,C1163,2023-06-26,Billing,Low,52.9,4.0
T20772,C1339,2023-06-22,Billing,Low,68.5,5.0
T20773,C1267,2024-09-02,Billing,Medium,39.1,6.0
T20774,C1056,2023-06-17,Technical,Low,55.7,4.0
T20775,C1303,2024-10-20,Technical,Medium,25.0,5.0
T20776,C1078,2024-06-13,Technical,Critical,6.8,7.0
T20777,C1297,2024-05-13,Outage,Medium,26.9,7.0
T20778,C1304,2024-05-16,Technical,Medium,41.6,2.0
T20779,C1287,2023-07-14,Feature Request,Low,65.2,2.0
T20780,C1236,2024-01-11,Technical,High,2.6,7.0
T20781,C1321,2024-12-28,Outage,High,12.1,6.0
T20782,C1312,2024-10-25,Feature Request,High,15.8,7.0
T20783,C1051,2023-04-29,Technical,Low,59.2,6.0
T20785,C1271,2024-08-09,Technical,Medium,4.1,6.0
T20786,C1025,2023-09-17,Billing,High,29.8,7.0
T20787,C1290,2023-08-30,Feature Request,Critical,8.3,6.0
T20788,C1088,2024-09-02,Technical,Low,53.3,5.0
T20789,C1022,2023-10-28,Billing,Medium,34.2,4.0
T20790,C1327,2024-06-09,Technical,Low,51.0,4.0
T20791,C1125,2023-05-07,Billing,Medium,18.8,8.0
T20792,C1035,2024-10-10,Onboarding,Low,39.4,2.0
T20793,C1124,2023-10-22,Billing,Critical,4.9,6.0
T20794,C1309,2024-04-24,Onboarding,Medium,20.5,9.0
T20795,C1269,2023-04-09,Outage,Medium,48.7,1.0
T20796,C1183,2023-03-21,Technical,Medium,29.1,8.0
T20797,C1080,2024-12-14,Billing,High,12.1,5.0
T20798,C1420,2024-06-02,Feature Request,Critical,6.7,7.0
T20799,C1250,2023-07-06,Billing,Low,57.5,7.0
T20800,C1372,2023-12-22,Feature Request,Low,70.6,7.0
T20801,C1358,2024-03-16,Onboarding,High,11.5,7.0
T20802,C1040,2023-04-02,Feature Request,High,12.9,4.0
T20803,C1324,2024-09-04,Billing,Medium,25.4,4.0
T20804,C1106,2023-06-25,Technical,Medium,27.8,2.0
T20805,C1387,2023-05-31,Billing,Low,73.9,5.0
T20806,C1067,2023-08-01,Feature Request,Low,69.1,3.0
T20807,C1227,2023-04-04,Billing,High,10.9,6.0
T20808,C1325,2024-08-07,Onboarding,Low,72.4,8.0
T20809,C1096,2023-02-04,Technical,Medium,37.2,6.0
T20810,C1362,2024-09-13,Technical,Critical,19.3,4.0
T20811,C1167,2023-12-06,Outage,High,21.3,7.0
T20812,C1218,2023-03-01,Billing,Medium,23.5,8.0
T20813,C1089,2024-09-20,Outage,Low,54.1,10.0
T20814,C1333,2023-02-05,Technical,Low,50.3,6.0
T20815,C1383,2023-09-25,Billing,Low,63.2,4.0
T20816,C1002,2024-10-27,Technical,High,0.7,7.0
T20817,C1396,2024-06-08,Outage,Medium,38.6,6.0
T20818,C1280,2023-09-12,Technical,High,12.3,7.0
T20819,C1328,2024-11-14,Technical,Low,56.2,2.0
T20820,C1095,2024-08-20,Technical,Low,30.6,2.0
T20821,C1032,2023-10-06,Technical,Medium,31.3,3.0
T20822,C1030,2023-12-15,Outage,Low,52.3,5.0
T20823,C1401,2024-01-30,Technical,Critical,1.4,8.0
T20824,C1236,2024-12-29,Technical,Medium,25.8,6.0
T20825,C1159,2024-10-16,Technical,Low,51.4,4.0
T20826,C1052,2023-02-13,Outage,Medium,17.8,6.0
T20827,C1349,2023-05-15,Technical,Medium,21.2,7.0
T20828,C1401,2023-04-02,Technical,Low,49.7,3.0
T20829,C1253,2023-09-20,Feature Request,High,25.4,4.0
T20830,C1046,2023-10-16,Billing,Medium,12.6,8.0
T20831,C1074,2024-04-11,Technical,Low,48.2,4.0
T20832,C1059,2023-06-08,Technical,Medium,29.3,4.0
T20833,C1237,2023-06-17,Outage,Critical,15.7,9.0
T20834,C1029,2023-09-20,Feature Request,Medium,24.2,8.0
T20835,C1417,2024-09-27,Billing,Medium,68.1,4.0
T20836,C1260,2023-05-29,Onboarding,Low,62.0,5.0
T20837,C1194,2023-12-10,Technical,Medium,36.8,5.0
T20838,C1042,2024-04-29,Onboarding,Medium,28.9,7.0
T20839,C1217,2023-01-23,Onboarding,Low,75.8,6.0
T20840,C1376,2024-07-20,Billing,Medium,23.1,7.0
T20841,C1197,2024-05-09,Technical,Medium,18.0,4.0
T20842,C1194,2024-11-26,Feature Request,Low,53.5,2.0
T20843,C1174,2024-04-19,Feature Request,Medium,20.9,8.0
T20844,C1157,2023-04-04,Technical,Low,42.6,3.0
T20845,C1350,2024-12-21,Technical,High,25.6,5.0
T20846,C1417,2024-07-27,Onboarding,Medium,21.8,6.0
T20847,C1167,2023-02-16,Billing,High,14.4,7.0
T20848,C1005,2023-09-15,Billing,Low,55.5,3.0
T20849,C1024,2024-11-08,Technical,Medium,37.0,5.0
T20850,C1219,2023-06-23,Billing,Low,65.8,6.0
T20851,C1285,2024-12-23,Technical,Low,52.9,4.0
T20853,C1009,2024-12-24,Billing,Low,43.0,4.0
T20854,C1378,2023-05-03,Feature Request,Low,35.9,3.0
T20855,C1218,2024-01-30,Technical,Medium,35.6,4.0
T20856,C1021,2023-05-17,Technical,Low,50.6,3.0
T20857,C1301,2023-05-02,Technical,Low,41.1,8.0
T20858,C1058,2023-04-05,Technical,High,4.0,9.0
T20859,C1194,2024-06-21,Technical,Medium,22.9,7.0
T20860,C1127,2024-08-13,Billing,Medium,39.4,4.0
T20861,C1115,2024-06-12,Billing,Medium,27.6,5.0
T20862,C1216,2024-05-26,Onboarding,Low,65.3,3.0
T20863,C1158,2023-06-10,Onboarding,Medium,17.7,9.0
T20864,C1233,2024-02-02,Billing,Critical,12.2,9.0
T20865,C1344,2023-05-25,Technical,High,11.8,9.0
T20866,C1039,2024-04-13,Technical,High,8.9,7.0
T20867,C1390,2024-08-30,Onboarding,High,9.1,5.0
T20868,C1159,2024-05-28,Billing,Low,47.4,6.0
T20869,C1093,2023-05-29,Onboarding,Medium,17.9,7.0
T20870,C1122,2023-01-29,Billing,Medium,25.0,6.0
T20871,C1034,2024-11-29,Billing,Low,57.2,4.0
T20872,C1277,2023-11-08,Billing,Low,47.2,7.0
T20873,C1066,2023-08-18,Feature Request,Low,40.9,4.0
T20874,C1038,2024-03-29,Onboarding,Low,44.8,6.0
T20875,C1386,2024-04-20,Onboarding,Medium,49.0,6.0
T20876,C1241,2023-07-22,Billing,Low,47.0,6.0
T20877,C1397,2024-01-03,Technical,Medium,32.7,9.0
T20878,C1279,2024-12-20,Technical,Medium,23.0,6.0
T20879,C1119,2023-05-06,Onboarding,Medium,23.6,9.0
T20880,C1397,2023-01-07,Billing,Critical,6.5,8.0
T20881,C1054,2023-07-26,Billing,Low,74.8,6.0
T20882,C1257,2023-07-06,Technical,High,18.9,5.0
T20883,C1096,2023-02-21,Feature Request,High,2.2,10.0
T20884,C1239,2023-04-13,Feature Request,Medium,33.2,6.0
T20885,C1143,2024-12-17,Onboarding,Low,64.6,3.0
T20886,C1001,2024-08-28,Billing,Medium,62.5,6.0
T20887,C1265,2024-07-21,Technical,Low,44.3,2.0
T20888,C1204,2024-01-18,Technical,Low,80.8,7.0
T20889,C1366,2023-10-03,Technical,Medium,36.4,5.0
T20890,C1181,2024-11-11,Onboarding,Medium,16.2,4.0
T20891,C1230,2024-12-14,Billing,Critical,2.0,8.0
T20892,C1296,2023-11-30,Billing,Medium,19.3,5.0
T20893,C1197,2023-04-24,Onboarding,Medium,21.3,7.0
T20894,C1125,2023-11-29,Feature Request,Medium,38.9,6.0
T20895,C1017,2023-03-31,Feature Request,Low,57.8,2.0
T20896,C1079,2023-07-05,Technical,High,0.5,6.0
T20897,C1168,2023-08-06,Billing,High,11.6,8.0
T20898,C1270,2024-11-25,Billing,Medium,28.7,3.0
T20899,C1175,2023-06-08,Technical,Medium,10.4,8.0
T20900,C1127,2023-05-26,Technical,Medium,29.9,3.0
T20901,C1368,2023-09-16,Technical,High,23.0,7.0
T20902,C1346,2024-06-30,Outage,High,21.4,4.0
T20903,C1236,2023-06-27,Feature Request,Medium,56.4,6.0
T20904,C1310,2023-07-25,Technical,Medium,41.8,5.0
T20905,C1389,2023-01-26,Technical,Medium,42.0,4.0
T20906,C1051,2023-09-08,Outage,Low,56.2,5.0
T20907,C1383,2023-12-05,Feature Request,Low,61.5,4.0
T20908,C1291,2023-04-29,Billing,Medium,29.9,7.0
T20909,C1369,2024-02-02,Technical,Medium,15.7,8.0
T20910,C1214,2024-07-12,Billing,Medium,26.5,4.0
T20911,C1145,2023-07-03,Feature Request,Medium,44.1,6.0
